AHJ Name,AHJ Type,County,Electric Utility,Comprehensive Plan,Moratorium,Zoning Map,Past Solar Project?,Project Names,Status,Approval/Denial Year,Council Votes,Zoning,Project Size (MW),Citizen Concerns,Official Concerns,Parcel ID/Address,Reference Link ,AHJ Download Folder,Project Sentiment (1-3),AHJ General Sentiment (1-3)
Dunlap,Village,Peoria,Ameren,https://www.villageofdunlap-il.gov/uploads/1/2/3/0/123017075/dunlap_comp_plan_-_final_draft.pdf,None,https://drive.google.com/file/d/1BauyR23TaDA_nSgm1cDYydu7v6ILZT1R/view,Yes,Cypress Creek Renewables (2018),Denied        ,2018,"1-5 (Yea: Sheila Taylor; Nay: Barrington, Anderson, Feuchter, Esterdahl, Slane)",Special Use Permit (Peoria County Zoning Board)        ,Not specified,"- Field tile interruption
- Transfers money to the rich
- Doesn’t fit Peoria County small area plan
- Lack of visual buffers (trees)
- Unsightly for neighbors
- Lower property values
- Non-local landowner won’t face impact","- Legal risk if blocking development on pre-annexed land
- Unclear if plot is suitable
- Concern about setting precedent for village", N/A,"https://drive.google.com/file/d/1KuNJO-cRyzuFalsXxNS5PtBjYI2onTK6/view?usp=drive_link
https://drive.google.com/file/d/124Qfcid2jF3cq8EzNvpkKHhHggrYbxl1/view?usp=drive_link",https://drive.google.com/drive/folders/1KyCir8VnH-t1pTZfsHito1j2WTLZi8Hr?usp=drive_link,1,3
Dunlap,Village,Peoria,Ameren,https://www.villageofdunlap-il.gov/uploads/1/2/3/0/123017075/dunlap_comp_plan_-_final_draft.pdf,None,https://drive.google.com/file/d/1BauyR23TaDA_nSgm1cDYydu7v6ILZT1R/view,Yes,"Inoka Farms, LLC Solar Farm / Cultivate Power Solar Farm (2024)",Approved,2024,All ayes (unanimous),Special Use Request; property is pre-annexed in the Village of Dunlap,1.2 MW, N/A,"- The village recognized a need to update its solar farm ordinances. 
- Angela Feria requested that the letter and resolution be edited before being submitted to Peoria County. 
- The board discussed the potential implications of the annexation of the EJJNP Property",near the corner of Route 91 and Grange Hall Road,https://drive.google.com/file/d/1iyAT4u613sMHx5D2FpWq43fc6GA53cOq/view?usp=drive_link,https://drive.google.com/drive/folders/1KyCir8VnH-t1pTZfsHito1j2WTLZi8Hr?usp=drive_link,3,3
Princeville,Viilage,Peoria,Ameren,"https://princeville.org/wp-content/uploads/2022/12/Village-of-Princeville-Comprehensive-Plan-3.1.21-1.pdf
https://princeville.org/wp-content/uploads/2022/12/solar-ord_20210409153107.pdf",None,,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://drive.google.com/drive/folders/1ENV2nPyVnmX2MBEWdiPNAsnff34QuFGc?usp=drive_link,N/A,N/A
Bloomington,City,McLean,Ameren, https://www.bloomingtonil.gov/home/showpublisheddocument/12032/636392697426830000,None,https://www.bloomingtonil.gov/home/showpublisheddocument/31577/638878475509970000,Yes,Washington Street (Hruska/New Leaf Energy) (2024),Approved,2024,"Planning Commission: 6-0-0 
City Council vote: N/A",Agriculture,5 MW,"- Potential height, setbacks, and screening of the facility. Specifically, there were concerns about a 20-foot and 2-inch ""array pitch"" being the actual height, which the applicant clarified as the distance between arrays, with the actual maximum height being less than 10 feet. 
- Potential home devaluation, future expansion of solar uses, loss of enjoyment of property, and the desire for additional screening along chain-link fences. 
- Health risks, hazardous materials, and potential for sun and air pollution, and questioned responsibility for maintenance and repairs
- Vegetative buffer required ","- Official discussions acknowledged public concerns about height, setbacks, and screening, leading to modifications in the agreement to address them. 
- Staff confirmed that expanded use would require additional review, and fire protection would be addressed through standard building permit processes and NFPA standards.
- Staff also clarified that increased setbacks beyond adopted requirements would need text amendments to the Zoning Code.",20-01-300-004,"https://drive.google.com/file/d/1sD0q94EIKVcwUy9_uqtigE6i5yeLbQGF/view?usp=drive_link
https://drive.google.com/file/d/1pfeEIwKhjMMv_HcSx6UQAsjAB214M66Y/view?usp=drive_link
https://drive.google.com/file/d/1NbEHZBIse5em3L8nfy0sXARqe4ch7n-o/view?usp=drive_link",https://drive.google.com/drive/folders/1R5b1Pz0w1pJPZH8cxPRTAb0ZlQgHGig4?usp=drive_link,3,3
Bloomington,City,McLean,Ameren, https://www.bloomingtonil.gov/home/showpublisheddocument/12032/636392697426830001 ,None,https://www.bloomingtonil.gov/home/showpublisheddocument/31577/638878475509970001,Yes,"Bloomington Big Solar Subdivision (BBig Solar, LLC) (2025)",Approved,2025,All ayes (unanimous),Agriculture,17 ac community-scale array; MW TBD, N/A,- The property is primarily accessible by substandard roads and not currently serviceable by public water or sewer,21-20-100-006,"https://drive.google.com/file/d/1PdikDKfKVSJq_e4QuSj4MzQvYbIDmW03/view?usp=drive_link
https://drive.google.com/file/d/1Qpx4KCnMK3BDE2ODvqoSI8roKi8gFhsa/view?usp=drive_link
https://drive.google.com/file/d/1TY26vSpM5tsEUZ5rrif3Yrx_YE1Ho9bx/view?usp=drive_link",https://drive.google.com/drive/folders/1R5b1Pz0w1pJPZH8cxPRTAb0ZlQgHGig4?usp=drive_link,3,3
Bloomington,City,McLean,Ameren, https://www.bloomingtonil.gov/home/showpublisheddocument/12032/636392697426830002 ,None,https://www.bloomingtonil.gov/home/showpublisheddocument/31577/638878475509970002,Yes,East Street Basin – Home Sweet Home Ministries (HSHM) Rooftop Solar & Ecology Action Center Solar-Education Displays (2024),Approved,2024,N/A ,"installing rooftop solar panels on existing buildings used by Home Sweet Home Ministries, specifically their homeless shelter at 303 E. Oakland Ave. and their building at 301 E. Oakland Ave. ", N/A, N/A, N/A,Not listed (addresses 301 & 303 E. Oakland Ave.),https://drive.google.com/file/d/1ztxseSseYW5tiST1y2KZJyxL21rek-_L/view?usp=drive_link,https://drive.google.com/drive/folders/1R5b1Pz0w1pJPZH8cxPRTAb0ZlQgHGig4?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2020,Yes,"Yarrow Solar, LLC (2025)",Approved,2025,"ZBA Recommendation: 7-0
City Council vote: N/A",Agriculture,5 MW,"

N/A",N/A,33-12-400-008,https://drive.google.com/file/d/1OtNpz3vKasu8KwqbrKjsK8JWzuJYC2so/view?usp=drive_link,https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2021,Yes,"AES DE DevCo NC, LLC (2019)",Approved,2019,"ZBA Recommendation: 7-0-2
City Council vote: N/A",Agriculture,N/A,N/A,N/A,21-20-200-003,https://drive.google.com/file/d/138DeM5Cbl54Qek5yUBWNWoNVppbluatR/view?usp=drive_link,https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2022,Yes,"Arrowsmith I Solar, LLC (by Cypress Creek
Renewables) (2018)",Approved,2018,16-2,Agriculture,2 MW,N/A,N/A,24-14-300-006,"https://drive.google.com/file/d/10lUjZ3NhJb5IG3Dkhfp--1dxIN6y_2jr/view?usp=drive_link
https://drive.google.com/file/d/1OELuw8iX3HNvJM3_hu0jt9ipEYnaG6e9/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2023,Yes,"Arrowsmith II Solar, LLC (by Cypress Creek
Renewables) (2018)",Approved,2018,16-2,Agriculture,2 MW,N/A,N/A,24-14-400-002,"https://drive.google.com/file/d/10lUjZ3NhJb5IG3Dkhfp--1dxIN6y_2jr/view?usp=drive_link
https://drive.google.com/file/d/1kZKyxle3L_ZO_c4imVUZgxi2NZFC0VEK/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
